Transaction_ID,Customer_ID,Product,Category,Quantity,Price_per_Unit,Total_Sales,Date,Country
b1698e4d-f360-4cef-9772-ac86cec18dd9,37401,Headphones,Accessories,4,867,3468,2024-07-14,Pitcairn Islands
b7388223-9ce2-4440-8959-0a1294c1e121,79147,Bookshelf,Furniture,1,571,571,2024-06-04,Syrian Arab Republic
16a8f509-b9f8-41b6-a59b-02f1b151adf0,74074,Dining Table,Furniture,12,618,7416,2024-05-31,Faroe Islands
c2f838ff-d14d-4820-bbd8-c8968568a2c0,73002,Power Bank,Accessories,7,468,3276,2024-08-19,Martinique
3e16a3ce-4ae1-4396-b02d-bc3c7550341c,24689,Microwave,Kitchen,8,107,856,2024-02-23,United States of America
6f91ae7d-810e-4592-9e1e-9e59874a9037,80777,Tablet,Electronics,14,174,2436,2024-08-21,Equatorial Guinea
654d2e47-21d0-4c6d-96b4-d938a789b760,76690,Tablet,Electronics,20,177,3540,2024-06-19,Dominica
57470b66-2b4a-4648-82b0-c0c2f4317638,41422,Charger,Accessories,9,84,756,2025-01-08,Israel
6dd72283-a586-4cf2-817d-8b114142aa2a,49907,Desk Chair,Furniture,14,709,9926,2024-03-18,Uruguay
32aa7c89-761b-4941-830b-aa9bf4bc31f5,89592,Power Bank,Accessories,11,702,7722,2024-04-10,Iraq
9354a2b9-ba46-4cfb-a3e9-62edf79c6ad2,84212,Blender,Kitchen,1,924,924,2024-02-14,Monaco
b9b31876-69a2-45ce-a8be-8c9b8d252ed4,93391,Smartphone,Electronics,16,112,1792,2025-01-05,Bangladesh
742c248b-d9af-490d-848d-11159ac34365,30813,Toaster,Kitchen,6,881,5286,2024-10-20,China
3b6d7cb3-9048-46d3-ade3-1276b2409a83,81087,Bookshelf,Furniture,19,388,7372,2024-02-17,Uganda
920c15a7-120e-4349-89b4-1f61dcd79e4e,13385,Sofa,Furniture,10,966,9660,2024-09-11,Guadeloupe
9da0648f-ce35-48f9-bc34-5cc75ae88370,19133,Headphones,Accessories,9,937,8433,2024-07-04,Bangladesh
6b7b07d9-b3b3-4318-8b15-367e071f96d7,84281,Bookshelf,Furniture,8,754,6032,2024-02-01,Gibraltar
a569edc5-2bae-4e68-8767-d239a65bbddf,64643,Bookshelf,Furniture,11,609,6699,2024-01-17,Brunei Darussalam
